年月,村里代碼,區域,村里,戶數,人口,男性人口,女性人口,未滿15歲,15-65歲,超過65歲
2014-12,0900701-005,連江縣南竿鄉,仁愛村,113,569,309,260,80,440,49
2014-12,0900701-001,連江縣南竿鄉,介壽村,488,2367,1318,1049,326,1840,201
2014-12,0900701-009,連江縣南竿鄉,四維村,27,175,98,77,13,136,26
2014-12,0900701-002,連江縣南竿鄉,復興村,229,1367,787,580,194,1051,122
2014-12,0900701-006,連江縣南竿鄉,津沙村,72,372,235,137,30,299,43
2014-12,0900701-004,連江縣南竿鄉,清水村,177,880,513,367,150,687,43
2014-12,0900701-008,連江縣南竿鄉,珠螺村,28,207,124,83,24,168,15
2014-12,0900701-003,連江縣南竿鄉,福沃村,176,961,576,385,107,764,90
2014-12,0900701-007,連江縣南竿鄉,馬祖村,118,598,321,277,83,472,43
2014-12,0900702-002,連江縣北竿鄉,后沃村,45,186,106,80,20,140,26
2014-12,0900702-005,連江縣北竿鄉,坂里村,65,322,168,154,38,256,28
2014-12,0900702-001,連江縣北竿鄉,塘岐村,227,1129,619,510,148,899,82
2014-12,0900702-003,連江縣北竿鄉,橋仔村,63,360,193,167,39,287,34
2014-12,0900702-006,連江縣北竿鄉,白沙村,28,137,88,49,23,102,12
2014-12,0900702-004,連江縣北竿鄉,芹壁村,47,186,101,85,18,145,23
2014-12,0900703-005,連江縣莒光鄉,大坪村,86,470,255,215,38,369,63
2014-12,0900703-002,連江縣莒光鄉,田沃村,37,222,142,80,26,176,20
2014-12,0900703-004,連江縣莒光鄉,福正村,41,224,128,96,17,170,37
2014-12,0900703-003,連江縣莒光鄉,西坵村,22,73,41,32,9,50,14
2014-12,0900703-001,連江縣莒光鄉,青帆村,80,435,266,169,44,355,36
2014-12,0900704-001,連江縣東引鄉,中柳村,143,578,330,248,76,457,45
2014-12,0900704-002,連江縣東引鄉,樂華村,162,688,435,253,91,563,34
2014-12,0902001-004,金門縣金城鎮,北門里,1467,4680,2400,2280,607,3616,457
2014-12,0902001-003,金門縣金城鎮,南門里,1877,5995,2971,3024,770,4596,629
2014-12,0902001-005,金門縣金城鎮,古城里,1136,3801,1899,1902,431,2974,396
2014-12,0902001-001,金門縣金城鎮,東門里,1676,5679,2837,2842,739,4398,542
2014-12,0902001-007,金門縣金城鎮,珠沙里,898,2917,1503,1414,248,2324,345
2014-12,0902001-002,金門縣金城鎮,西門里,3357,11071,5449,5622,1487,8542,1042
2014-12,0902001-008,金門縣金城鎮,賢庵里,1378,4673,2399,2274,453,3793,427
2014-12,0902001-006,金門縣金城鎮,金水里,654,2117,1097,1020,178,1711,228
2014-12,0902002-002,金門縣金沙鎮,三山里,605,1959,981,978,162,1508,289
2014-12,0902002-005,金門縣金沙鎮,何斗里,635,2083,1016,1067,223,1616,244
2014-12,0902002-004,金門縣金沙鎮,光前里,813,2450,1208,1242,255,1957,238
2014-12,0902002-003,金門縣金沙鎮,大洋里,398,1241,624,617,122,952,167
2014-12,0902002-007,金門縣金沙鎮,官嶼里,659,2204,1085,1119,185,1711,308
2014-12,0902002-001,金門縣金沙鎮,汶沙里,1720,5488,2719,2769,654,4232,602
2014-12,0902002-008,金門縣金沙鎮,浦山里,738,2482,1195,1287,292,1896,294
2014-12,0902002-006,金門縣金沙鎮,西園里,456,1558,812,746,116,1229,213
2014-12,0902003-002,金門縣金湖鎮,山外里,1071,3747,1839,1908,499,2922,326
2014-12,0902003-004,金門縣金湖鎮,料羅里,502,1895,1017,878,167,1519,209
2014-12,0902003-001,金門縣金湖鎮,新市里,1573,4829,2457,2372,616,3680,533
2014-12,0902003-006,金門縣金湖鎮,新湖里,2389,7778,3932,3846,1007,6256,515
2014-12,0902003-003,金門縣金湖鎮,正義里,797,2586,1317,1269,215,2085,286
2014-12,0902003-007,金門縣金湖鎮,溪湖里,475,1536,778,758,155,1199,182
2014-12,0902003-005,金門縣金湖鎮,瓊林里,989,3293,1626,1667,364,2520,409
2014-12,0902003-008,金門縣金湖鎮,蓮庵里,517,1704,835,869,170,1320,214
2014-12,0902004-001,金門縣金寧鄉,古寧村,1026,3336,1654,1682,294,2530,512
2014-12,0902004-003,金門縣金寧鄉,后盤村,493,1519,754,765,142,1167,210
2014-12,0902004-002,金門縣金寧鄉,安美村,1339,4416,2231,2185,506,3436,474
2014-12,0902004-005,金門縣金寧鄉,榜林村,1516,5083,2583,2500,521,4071,491
2014-12,0902004-004,金門縣金寧鄉,湖埔村,1766,5702,2851,2851,622,4617,463
2014-12,0902004-006,金門縣金寧鄉,盤山村,1521,7251,3720,3531,510,6349,392
2014-12,0902005-001,金門縣烈嶼鄉,上岐村,689,2858,1370,1488,242,2215,401
2014-12,0902005-002,金門縣烈嶼鄉,上林村,408,1485,703,782,146,1148,191
2014-12,0902005-004,金門縣烈嶼鄉,林湖村,894,3520,1831,1689,339,2782,399
2014-12,0902005-003,金門縣烈嶼鄉,西口村,629,2511,1233,1278,224,1984,303
2014-12,0902005-005,金門縣烈嶼鄉,黃埔村,389,1604,773,831,160,1253,191
2014-12,0902006-001,金門縣烏坵鄉,大坵村,52,310,167,143,47,231,32
2014-12,0902006-002,金門縣烏坵鄉,小坵村,82,362,168,194,73,267,22
2014-12,1000201-016,宜蘭縣宜蘭市,七張里,523,1746,922,824,290,1225,231
2014-12,1000201-043,宜蘭縣宜蘭市,七結里,1132,3203,1479,1724,631,2326,246
2014-12,1000201-031,宜蘭縣宜蘭市,中山里,481,1085,557,528,82,789,214
2014-12,1000201-046,宜蘭縣宜蘭市,中興里,1233,3474,1671,1803,472,2632,370
2014-12,1000201-012,宜蘭縣宜蘭市,凱旋里,470,1484,768,716,215,1101,168
2014-12,1000201-026,宜蘭縣宜蘭市,北津里,916,2584,1269,1315,296,2046,242
2014-12,1000201-028,宜蘭縣宜蘭市,北門里,500,1378,711,667,128,1044,206
2014-12,1000201-009,宜蘭縣宜蘭市,南橋里,452,1405,731,674,210,1011,184
2014-12,1000201-011,宜蘭縣宜蘭市,南津里,1014,2430,1180,1250,419,1573,438
2014-12,1000201-034,宜蘭縣宜蘭市,南門里,686,1839,903,936,290,1306,243
2014-12,1000201-045,宜蘭縣宜蘭市,大新里,386,951,462,489,117,647,187
2014-12,1000201-023,宜蘭縣宜蘭市,孝廉里,528,1396,740,656,160,999,237
2014-12,1000201-021,宜蘭縣宜蘭市,小東里,652,1717,874,843,161,1271,285
2014-12,1000201-015,宜蘭縣宜蘭市,延平里,1318,3874,1849,2025,716,2864,294
2014-12,1000201-010,宜蘭縣宜蘭市,建業里,680,1971,1013,958,333,1421,217
2014-12,1000201-037,宜蘭縣宜蘭市,建軍里,751,2108,979,1129,347,1575,186
2014-12,1000201-040,宜蘭縣宜蘭市,復興里,1381,3334,1584,1750,402,2399,533
2014-12,1000201-038,宜蘭縣宜蘭市,思源里,1900,5308,2546,2762,941,4066,301
2014-12,1000201-017,宜蘭縣宜蘭市,慈安里,770,2016,935,1081,231,1588,197
2014-12,1000201-041,宜蘭縣宜蘭市,成功里,1323,3847,1851,1996,725,2828,294
2014-12,1000201-047,宜蘭縣宜蘭市,擺厘里,1354,3384,1586,1798,444,2614,326
2014-12,1000201-039,宜蘭縣宜蘭市,文化里,1453,3945,1877,2068,689,2794,462
2014-12,1000201-042,宜蘭縣宜蘭市,新東里,1402,3931,1831,2100,625,2960,346
2014-12,1000201-018,宜蘭縣宜蘭市,新民里,812,1855,957,898,178,1285,392
2014-12,1000201-024,宜蘭縣宜蘭市,新生里,1016,2996,1524,1472,375,2298,323
2014-12,1000201-014,宜蘭縣宜蘭市,東村里,853,2601,1298,1303,440,1970,191
2014-12,1000201-019,宜蘭縣宜蘭市,東門里,489,1127,585,542,113,789,225
2014-12,1000201-027,宜蘭縣宜蘭市,梅洲里,1204,3659,1884,1775,441,2799,419
