年月,村里代碼,區域,村里,戶數,人口,男性人口,女性人口,未滿15歲,15-64歲,超過64歲,超過20歲,18-19歲
2020-03,65000010-001,新北市板橋區,留侯里,685,1677,805,872,219,1161,297,1385,26
2020-03,65000010-002,新北市板橋區,流芳里,633,1545,717,828,232,1022,291,1248,33
2020-03,65000010-003,新北市板橋區,赤松里,401,946,453,493,151,626,169,754,15
2020-03,65000010-004,新北市板橋區,黃石里,501,1260,608,652,234,806,220,971,26
2020-03,65000010-005,新北市板橋區,挹秀里,856,1960,949,1011,275,1302,383,1616,27
2020-03,65000010-006,新北市板橋區,湳興里,2294,5439,2591,2848,638,3908,893,4555,117
2020-03,65000010-007,新北市板橋區,新興里,1547,3302,1585,1717,324,2384,594,2834,58
2020-03,65000010-008,新北市板橋區,社後里,5283,9480,5343,4137,661,7034,1785,8473,161
2020-03,65000010-009,新北市板橋區,香社里,1595,4354,2170,2184,478,3195,681,3677,83
2020-03,65000010-010,新北市板橋區,中正里,1750,4710,2308,2402,650,3392,668,3834,97
2020-03,65000010-011,新北市板橋區,自強里,2065,5344,2619,2725,680,3456,1208,4476,76
2020-03,65000010-012,新北市板橋區,自立里,1098,2891,1393,1498,307,2043,541,2448,57
2020-03,65000010-013,新北市板橋區,光華里,1139,2826,1376,1450,328,1983,515,2388,42
2020-03,65000010-014,新北市板橋區,國光里,1544,3792,1810,1982,307,2685,800,3298,91
2020-03,65000010-015,新北市板橋區,港尾里,1112,3027,1443,1584,431,2190,406,2428,74
2020-03,65000010-016,新北市板橋區,金華里,1484,4155,2034,2121,535,2907,713,3448,61
2020-03,65000010-017,新北市板橋區,港德里,1943,4909,2386,2523,559,3393,957,4114,102
2020-03,65000010-018,新北市板橋區,民權里,1090,2703,1310,1393,290,1804,609,2298,49
2020-03,65000010-019,新北市板橋區,建國里,1432,3643,1758,1885,402,2546,695,3077,80
2020-03,65000010-020,新北市板橋區,漢生里,1706,4416,2139,2277,697,2847,872,3555,69
2020-03,65000010-021,新北市板橋區,公舘里,1472,3966,1950,2016,533,2762,671,3205,101
2020-03,65000010-022,新北市板橋區,新民里,1746,4626,2245,2381,796,3084,746,3597,91
2020-03,65000010-023,新北市板橋區,幸福里,1510,4022,1981,2041,453,2876,693,3397,83
2020-03,65000010-024,新北市板橋區,忠誠里,1757,4371,2094,2277,622,2943,806,3533,90
2020-03,65000010-025,新北市板橋區,百壽里,1211,2950,1362,1588,543,1948,459,2279,50
2020-03,65000010-026,新北市板橋區,介壽里,1281,3267,1562,1705,541,2136,590,2590,55
2020-03,65000010-027,新北市板橋區,新埔里,889,2151,1039,1112,203,1523,425,1862,43
2020-03,65000010-028,新北市板橋區,華江里,3274,8018,3699,4319,1547,5483,988,6074,165
2020-03,65000010-029,新北市板橋區,江翠里,1982,5131,2520,2611,545,3768,818,4337,104
2020-03,65000010-030,新北市板橋區,純翠里,2094,5576,2679,2897,660,4054,862,4668,119
2020-03,65000010-031,新北市板橋區,溪頭里,2422,6119,3011,3108,738,4423,958,5063,158
2020-03,65000010-032,新北市板橋區,聯翠里,1680,3844,1810,2034,400,2817,627,3229,93
2020-03,65000010-033,新北市板橋區,宏翠里,2432,5356,2522,2834,636,4010,710,4501,98
2020-03,65000010-034,新北市板橋區,仁翠里,1108,2941,1418,1523,309,2066,566,2499,65
2020-03,65000010-035,新北市板橋區,新翠里,3238,8249,3951,4298,942,6194,1113,6853,224
2020-03,65000010-036,新北市板橋區,吉翠里,1381,3867,1880,1987,484,2794,589,3217,71
2020-03,65000010-037,新北市板橋區,德翠里,2749,7576,3707,3869,1049,5764,763,6087,208
