統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10312,宜蘭縣宜蘭市,七張里,523,1746,922,824,7,7,5,8,8,11,4,6,6,7,8,8,6,9,15,9,18,14,12,14,9,9,14,10,10,15,12,7,8,14,11,1,8,10,11,16,17,9,16,10,15,12,17,11,14,17,14,6,15,13,15,7,16,13,7,10,17,11,11,12,25,15,14,16,14,12,14,15,9,15,16,10,15,8,12,9,10,14,9,12,10,8,16,9,10,14,12,16,7,14,16,8,18,15,18,16,17,14,12,10,14,8,10,11,21,10,16,15,15,11,13,9,14,9,9,11,13,7,6,5,14,9,6,12,10,10,12,8,10,6,11,4,6,6,3,5,4,3,6,2,4,7,4,10,4,2,6,5,9,5,9,8,3,5,6,9,5,3,6,7,7,10,2,3,6,6,6,2,1,4,1,2,1,7,2,3,0,2,2,2,0,2,1,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,
10312,宜蘭縣宜蘭市,七結里,1132,3203,1479,1724,9,16,9,8,16,17,13,15,9,14,25,16,19,20,12,22,31,25,21,23,22,31,30,25,28,25,25,25,37,43,27,19,26,21,25,27,23,30,27,17,23,21,19,30,19,27,33,23,29,20,20,19,24,23,24,16,21,23,27,22,14,27,17,24,25,23,15,32,32,31,23,32,24,16,19,28,18,30,21,29,20,39,16,35,20,31,25,29,25,49,28,30,25,24,20,23,20,22,22,26,24,19,25,27,14,32,17,27,16,23,17,29,17,23,16,24,20,15,13,26,15,19,16,20,17,27,13,11,12,14,8,16,10,16,3,12,9,5,7,8,6,7,8,14,8,5,4,12,11,3,6,4,5,2,5,4,4,8,3,5,2,4,1,4,1,1,7,5,3,1,2,2,5,2,1,1,1,0,2,0,0,1,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
10312,宜蘭縣宜蘭市,中山里,481,1085,557,528,4,5,0,2,6,3,2,2,3,6,3,2,3,2,4,4,3,1,2,1,2,1,1,3,3,1,3,3,4,3,4,1,7,3,8,0,3,5,9,6,10,8,6,11,12,3,6,10,8,6,7,3,5,8,3,2,6,7,7,12,8,7,8,8,9,6,5,7,9,8,10,6,10,6,7,6,11,8,2,5,11,7,9,8,9,7,6,7,13,5,9,8,4,12,7,4,10,8,8,9,9,6,4,8,10,8,12,14,19,7,9,11,13,7,4,5,14,11,7,6,13,10,13,9,8,10,12,9,8,6,8,6,2,8,2,5,1,2,3,7,3,5,5,5,4,7,2,5,6,7,5,5,5,9,6,6,6,9,7,3,4,3,5,3,1,4,5,4,1,4,1,2,2,3,2,2,3,5,2,5,1,0,1,3,0,2,0,2,0,1,0,1,0,0,0,1,0,0,0,1,0,0,
10312,宜蘭縣宜蘭市,中興里,1233,3474,1671,1803,18,9,13,12,10,16,12,15,12,11,15,16,12,13,12,17,22,17,15,14,20,13,18,25,23,20,21,18,15,18,11,31,19,19,29,23,25,30,19,24,26,21,19,25,25,26,30,26,48,20,25,26,34,28,25,39,34,29,20,28,26,27,33,22,36,21,33,28,26,22,28,29,30,29,29,32,24,26,22,30,24,21,26,30,17,22,28,27,25,25,25,32,32,29,20,23,29,27,23,24,29,29,25,23,27,29,30,38,31,30,23,34,21,34,18,28,20,32,24,36,20,24,16,22,26,25,17,19,16,13,11,16,12,21,7,13,10,12,5,16,7,10,7,13,12,14,5,13,6,16,10,8,6,12,7,7,2,7,7,6,4,10,4,8,2,3,8,4,5,1,6,3,3,3,4,1,5,3,1,2,3,3,2,1,1,2,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,
10312,宜蘭縣宜蘭市,凱旋里,470,1484,768,716,4,7,5,3,4,4,9,1,3,6,4,9,4,7,7,7,12,7,8,10,3,9,9,12,8,8,9,15,9,12,11,7,12,11,15,14,17,13,17,7,12,11,14,14,11,18,13,10,15,8,6,7,15,14,8,7,11,4,16,7,8,11,12,6,15,5,15,16,6,10,10,7,12,15,9,9,12,11,5,14,8,9,17,11,10,17,15,11,16,12,14,8,15,12,10,15,10,11,20,13,10,10,16,9,12,7,16,10,18,11,9,14,11,12,11,12,11,5,8,9,8,5,11,7,10,7,5,1,4,5,4,6,6,3,4,7,2,3,1,6,4,3,3,7,6,5,3,4,7,4,4,5,4,6,3,1,5,10,1,4,7,1,3,3,0,2,3,2,3,1,0,3,4,2,0,6,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
10312,宜蘭縣宜蘭市,北津里,916,2584,1269,1315,12,4,8,8,10,6,10,8,12,6,9,10,13,11,6,10,12,12,4,11,12,10,8,4,14,10,12,13,14,17,18,15,23,12,21,16,20,24,12,31,21,22,24,25,31,27,18,20,19,17,16,20,22,18,19,14,22,22,20,16,16,24,31,29,32,22,33,27,17,15,30,16,30,23,28,19,23,21,18,25,10,16,18,20,19,14,18,15,11,11,12,27,11,11,17,25,26,21,19,25,23,26,23,19,18,24,27,19,17,20,24,27,10,32,12,18,15,19,18,25,16,22,18,19,18,27,12,21,11,10,9,17,11,8,9,7,8,4,6,7,7,7,8,9,6,7,6,10,9,15,6,6,4,6,4,8,4,1,0,2,3,2,4,5,4,3,2,6,3,4,2,2,5,0,1,3,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
10312,宜蘭縣宜蘭市,北門里,500,1378,711,667,2,3,2,4,7,3,2,2,10,5,4,1,4,3,3,6,5,4,4,5,8,3,10,4,2,3,6,3,6,4,8,9,8,6,12,10,8,4,8,9,10,6,10,13,10,12,6,8,14,14,7,8,15,7,17,8,18,14,16,7,12,11,10,11,13,14,8,9,9,14,8,6,12,10,15,8,12,11,14,5,9,9,8,9,12,12,9,14,7,9,11,7,10,7,12,13,13,11,2,8,11,17,13,13,11,12,13,7,16,13,11,9,13,15,8,9,13,7,9,12,11,12,7,10,13,10,10,9,6,4,6,8,3,3,4,4,0,6,3,6,6,6,8,7,8,4,3,4,8,7,6,7,6,4,5,6,3,5,4,6,3,8,4,6,4,6,2,2,3,4,4,2,1,2,0,1,0,2,0,3,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
10312,宜蘭縣宜蘭市,南橋里,452,1405,731,674,5,4,5,8,4,5,6,10,6,1,5,4,3,2,11,6,5,7,4,9,13,9,8,11,11,7,16,5,11,9,8,7,5,4,13,6,12,10,11,13,17,9,10,8,9,10,14,8,8,19,8,11,14,13,7,10,6,9,7,8,8,12,9,8,13,12,8,10,13,15,11,8,11,6,10,11,7,11,7,12,13,8,12,11,8,8,12,12,9,8,8,10,15,5,19,10,13,8,6,17,12,15,15,10,11,9,18,9,8,10,15,10,7,10,8,13,14,13,5,6,9,5,9,4,9,8,9,8,10,3,5,6,5,5,5,4,5,5,4,3,3,6,4,6,4,6,8,3,5,8,8,7,7,3,5,2,4,3,5,5,2,6,3,4,0,3,4,3,1,0,4,1,2,2,2,3,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,
10312,宜蘭縣宜蘭市,南津里,1014,2430,1180,1250,9,4,5,12,7,13,9,7,11,8,11,15,21,17,11,16,12,20,11,18,17,18,19,16,22,18,20,22,17,13,12,12,10,9,17,19,14,8,15,18,17,10,15,15,19,18,12,11,10,8,8,10,11,12,11,6,7,9,9,11,11,12,18,12,13,20,13,13,12,9,11,23,22,16,13,12,15,22,22,31,26,19,17,15,21,17,27,31,19,24,15,21,14,18,23,15,27,17,23,13,17,21,21,11,18,16,24,13,16,18,15,12,18,19,13,18,17,11,13,14,20,13,18,15,11,18,10,14,10,12,9,13,4,15,5,3,7,8,6,5,6,11,6,13,8,11,4,14,6,20,9,15,5,10,4,18,8,14,3,9,5,12,7,8,5,7,9,9,14,13,4,8,12,6,10,6,8,5,9,5,3,1,2,1,6,4,0,2,2,0,2,3,0,2,0,1,0,0,0,0,0,0,
10312,宜蘭縣宜蘭市,南門里,686,1839,903,936,8,8,4,5,13,3,8,14,9,7,8,7,16,15,15,9,9,7,12,13,12,7,10,5,11,9,10,12,14,10,19,11,9,11,19,12,14,14,13,7,11,9,12,13,14,9,14,7,13,10,10,15,8,19,8,12,7,9,13,9,13,10,10,19,10,17,15,22,20,17,19,23,11,13,10,16,16,14,6,12,16,16,14,10,9,14,7,14,13,13,14,15,8,19,17,12,10,15,7,9,11,10,17,13,8,11,16,13,12,15,10,13,10,12,19,15,13,15,12,16,12,13,7,19,12,7,8,13,12,12,15,19,8,4,10,8,7,5,4,6,3,3,11,8,8,9,7,7,3,12,6,9,3,6,2,5,5,2,7,1,0,6,7,3,2,2,6,7,6,4,2,6,3,1,3,2,1,4,1,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,
