year,age_range,male,female,total
2019,0-4,242,229,471
2019,5-9,244,230,474
2019,10-14,279,292,571
2019,15-19,469,447,916
2019,20-24,535,482,1017
2019,25-29,602,520,1122
2019,30-34,586,480,1066
2019,35-39,634,533,1167
2019,40-44,637,478,1115
2019,45-49,655,498,1153
2019,50-54,783,643,1426
2019,55-59,807,679,1486
2019,60-64,811,739,1550
2019,65-69,654,568,1222
2019,70-74,337,380,717
2019,75-79,335,420,755
2019,80-84,233,314,547
2019,85-89,141,209,350
2019,90-94,49,73,122
2019,95-99,6,14,20
2019,100+,2,2,4
2020,0-4,251,225,476
2020,5-9,245,242,487
2020,10-14,254,262,516
2020,15-19,428,411,839
2020,20-24,519,488,1007
2020,25-29,613,533,1146
2020,30-34,583,464,1047
2020,35-39,636,527,1163
2020,40-44,651,496,1147
2020,45-49,616,501,1117
2020,50-54,759,596,1355
2020,55-59,784,669,1453
2020,60-64,817,740,1557
2020,65-69,704,593,1297
2020,70-74,368,418,786
2020,75-79,315,398,713
2020,80-84,243,312,555
2020,85-89,147,226,373
2020,90-94,47,87,134
2020,95-99,10,15,25
2020,100+,0,0,0
2021,0-4,268,231,499
2021,5-9,226,235,461
2021,10-14,251,260,511
2021,15-19,379,380,759
2021,20-24,508,474,982
2021,25-29,631,530,1161
2021,30-34,582,479,1061
2021,35-39,612,503,1115
2021,40-44,654,516,1170
2021,45-49,594,481,1075
2021,50-54,751,587,1338
2021,55-59,787,651,1438
2021,60-64,798,742,1540
2021,65-69,712,617,1329
2021,70-74,419,468,887
2021,75-79,312,346,658
2021,80-84,249,335,584
2021,85-89,145,222,367
2021,90-94,53,97,150
2021,95-99,12,23,35
2021,100+,0,0,0
2022,0-4,274,244,518
2022,5-9,233,225,458
2022,10-14,237,248,485
2022,15-19,338,359,697
2022,20-24,499,445,944
2022,25-29,616,543,1159
2022,30-34,577,486,1063
2022,35-39,600,493,1093
2022,40-44,673,516,1189
2022,45-49,579,492,1071
2022,50-54,736,537,1273
2022,55-59,759,660,1419
2022,60-64,777,718,1495
2022,65-69,742,660,1402
2022,70-74,481,491,972
2022,75-79,293,316,609
2022,80-84,246,364,610
2022,85-89,146,211,357
2022,90-94,66,115,181
2022,95-99,16,24,40
2022,100+,0,0,0
2023,0-4,277,256,533
2023,5-9,238,215,453
2023,10-14,233,254,487
2023,15-19,309,321,630
2023,20-24,482,451,933
2023,25-29,575,511,1086
2023,30-34,603,500,1103
2023,35-39,585,477,1062
2023,40-44,680,534,1214
2023,45-49,583,480,1063
2023,50-54,688,522,1210
2023,55-59,745,647,1392
