year,age_range,male,female,total
2019,0-4,182,150,332
2019,5-9,164,140,304
2019,10-14,139,123,262
2019,15-19,149,142,291
2019,20-24,221,179,400
2019,25-29,220,217,437
2019,30-34,218,179,397
2019,35-39,219,233,452
2019,40-44,223,180,403
2019,45-49,216,186,402
2019,50-54,235,208,443
2019,55-59,216,198,414
2019,60-64,177,146,323
2019,65-69,121,102,223
2019,70-74,50,56,106
2019,75-79,37,63,100
2019,80-84,22,45,67
2019,85-89,14,28,42
2019,90-94,4,7,11
2019,95-99,0,1,1
2019,100+,0,0,0
2020,0-4,164,139,303
2020,5-9,179,149,328
2020,10-14,142,123,265
2020,15-19,139,131,270
2020,20-24,206,169,375
2020,25-29,219,221,440
2020,30-34,225,190,415
2020,35-39,220,218,438
2020,40-44,217,197,414
2020,45-49,214,177,391
2020,50-54,229,206,435
2020,55-59,224,200,424
2020,60-64,189,156,345
2020,65-69,137,111,248
2020,70-74,62,64,126
2020,75-79,37,63,100
2020,80-84,20,44,64
2020,85-89,16,31,47
2020,90-94,5,9,14
2020,95-99,1,1,2
2020,100+,0,0,0
2021,0-4,148,137,285
2021,5-9,187,145,332
2021,10-14,142,126,268
2021,15-19,149,129,278
2021,20-24,183,156,339
2021,25-29,223,221,444
2021,30-34,224,193,417
2021,35-39,219,199,418
2021,40-44,212,211,423
2021,45-49,223,173,396
2021,50-54,213,209,422
2021,55-59,236,206,442
2021,60-64,206,168,374
2021,65-69,138,121,259
2021,70-74,77,73,150
2021,75-79,34,58,92
2021,80-84,26,45,71
2021,85-89,16,35,51
2021,90-94,7,10,17
2021,95-99,2,2,4
2021,100+,0,0,0
2022,0-4,140,130,270
2022,5-9,183,147,330
2022,10-14,153,133,286
2022,15-19,141,125,266
2022,20-24,179,150,329
2022,25-29,216,215,431
2022,30-34,220,199,419
2022,35-39,227,186,413
2022,40-44,211,220,431
2022,45-49,224,172,396
2022,50-54,210,204,414
2022,55-59,229,206,435
2022,60-64,220,180,400
2022,65-69,146,132,278
2022,70-74,92,89,181
2022,75-79,32,47,79
2022,80-84,28,50,78
2022,85-89,17,33,50
2022,90-94,10,14,24
2022,95-99,2,3,5
2022,100+,0,0,0
2023,0-4,129,125,254
2023,5-9,180,154,334
2023,10-14,167,137,304
2023,15-19,139,110,249
2023,20-24,161,149,310
2023,25-29,219,205,424
2023,30-34,223,203,426
2023,35-39,216,185,401
2023,40-44,224,216,440
2023,45-49,221,185,406
2023,50-54,213,190,403
2023,55-59,232,201,433
2023,60-64,214,199,413
2023,65-69,154,135,289
2023,70-74,102,101,203
2023,75-79,37,47,84
2023,80-84,26,55,81
2023,85-89,19,33,52
2023,90-94,13,14,27
2023,95-99,2,5,7
2023,100+,0,0,0
2024,0-4,123,116,239
2024,5-9,182,150,332
2024,10-14,164,140,304
2024,15-19,139,123,262
2024,20-24,149,142,291
2024,25-29,221,179,400
2024,30-34,220,217,437
2024,35-39,218,179,397
2024,40-44,219,233,452
2024,45-49,223,180,403
2024,50-54,216,186,402
2024,55-59,233,208,441
2024,60-64,209,198,407
2024,65-69,166,146,312
2024,70-74,107,102,209
2024,75-79,48,56,104
2024,80-84,27,56,83
2024,85-89,18,32,50
2024,90-94,12,15,27
2024,95-99,4,6,10
2024,100+,0,0,0
2025,0-4,126,118,244
2025,5-9,164,139,303
2025,10-14,179,149,328
2025,15-19,142,123,265
2025,20-24,139,131,270
2025,25-29,206,169,375
2025,30-34,219,221,440
2025,35-39,225,190,415
2025,40-44,220,218,438
2025,45-49,217,197,414
2025,50-54,214,177,391
2025,55-59,228,206,434
2025,60-64,217,200,417
2025,65-69,175,156,331
2025,70-74,116,111,227
2025,75-79,56,64,120
2025,80-84,28,53,81
2025,85-89,18,33,51
2025,90-94,12,16,28
2025,95-99,5,8,13
2025,100+,0,0,0
2026,0-4,125,117,242
2026,5-9,148,137,285
2026,10-14,187,145,332
2026,15-19,142,126,268
2026,20-24,149,129,278
2026,25-29,183,156,339
2026,30-34,223,221,444
2026,35-39,224,193,417
2026,40-44,219,199,418
2026,45-49,212,211,423
2026,50-54,223,173,396
2026,55-59,213,209,422
2026,60-64,227,206,433
2026,65-69,185,168,353
2026,70-74,118,121,239
2026,75-79,64,73,137
2026,80-84,30,49,79
2026,85-89,19,32,51
2026,90-94,12,18,30
2026,95-99,6,9,15
2026,100+,0,0,0
2027,0-4,123,116,239
2027,5-9,140,130,270
2027,10-14,183,147,330
2027,15-19,153,133,286
2027,20-24,141,125,266
2027,25-29,179,150,329
2027,30-34,216,215,431
2027,35-39,220,199,419
2027,40-44,227,186,413
2027,45-49,211,220,431
2027,50-54,224,172,396
2027,55-59,210,204,414
2027,60-64,223,206,429
2027,65-69,196,180,376
2027,70-74,124,132,256
2027,75-79,72,88,160
2027,80-84,31,41,72
2027,85-89,20,32,52
2027,90-94,12,17,29
2027,95-99,8,9,17
2027,100+,0,0,0
2028,0-4,121,114,235
2028,5-9,129,125,254
2028,10-14,180,154,334
2028,15-19,167,137,304
2028,20-24,139,110,249
2028,25-29,161,149,310
2028,30-34,219,205,424
2028,35-39,223,203,426
2028,40-44,216,185,401
2028,45-49,224,216,440
2028,50-54,221,185,406
2028,55-59,213,190,403
2028,60-64,224,201,425
2028,65-69,194,199,393
2028,70-74,131,135,266
2028,75-79,77,98,175
2028,80-84,34,44,78
2028,85-89,20,35,55
2028,90-94,13,17,30
2028,95-99,9,9,18
2028,100+,0,0,0
2029,0-4,119,112,231
2029,5-9,123,116,239
2029,10-14,182,150,332
2029,15-19,164,140,304
2029,20-24,139,123,262
2029,25-29,149,142,291
2029,30-34,221,179,400
2029,35-39,220,217,437
2029,40-44,218,179,397
2029,45-49,219,233,452
2029,50-54,223,180,403
2029,55-59,216,186,402
2029,60-64,225,208,433
2029,65-69,193,198,391
2029,70-74,142,146,288
2029,75-79,82,100,182
2029,80-84,38,51,89
2029,85-89,22,35,57
2029,90-94,12,17,29
2029,95-99,8,9,17
2029,100+,0,0,0
2030,0-4,116,110,226
2030,5-9,126,118,244
2030,10-14,164,139,303
2030,15-19,179,149,328
2030,20-24,142,123,265
2030,25-29,139,131,270
2030,30-34,206,169,375
2030,35-39,219,221,440
2030,40-44,225,190,415
2030,45-49,220,218,438
2030,50-54,217,197,414
2030,55-59,214,177,391
2030,60-64,223,206,429
