year,age_range,male,female,total
2019,0-4,289,263,552
2019,5-9,322,273,595
2019,10-14,375,356,731
2019,15-19,634,576,1210
2019,20-24,786,648,1434
2019,25-29,723,609,1332
2019,30-34,672,561,1233
2019,35-39,800,682,1482
2019,40-44,875,780,1655
2019,45-49,917,801,1718
2019,50-54,1262,865,2127
2019,55-59,1286,910,2196
2019,60-64,1074,932,2006
2019,65-69,944,786,1730
2019,70-74,559,593,1152
2019,75-79,573,591,1164
2019,80-84,440,507,947
2019,85-89,215,311,526
2019,90-94,61,119,180
2019,95-99,6,23,29
2019,100+,1,6,7
2020,0-4,297,263,560
2020,5-9,308,286,594
2020,10-14,366,317,683
2020,15-19,553,534,1087
2020,20-24,780,643,1423
2020,25-29,752,641,1393
2020,30-34,691,529,1220
2020,35-39,761,669,1430
2020,40-44,862,782,1644
2020,45-49,865,777,1642
2020,50-54,1195,850,2045
2020,55-59,1293,937,2230
2020,60-64,1140,907,2047
2020,65-69,952,833,1785
2020,70-74,610,627,1237
2020,75-79,517,524,1041
2020,80-84,461,523,984
2020,85-89,226,320,546
2020,90-94,68,144,212
2020,95-99,15,22,37
2020,100+,0,0,0
2021,0-4,297,276,573
2021,5-9,314,288,602
2021,10-14,345,282,627
2021,15-19,505,495,1000
2021,20-24,726,627,1353
2021,25-29,809,660,1469
2021,30-34,682,543,1225
2021,35-39,721,624,1345
2021,40-44,855,784,1639
2021,45-49,847,764,1611
2021,50-54,1107,835,1942
2021,55-59,1323,917,2240
2021,60-64,1148,904,2052
2021,65-69,942,832,1774
2021,70-74,718,701,1419
2021,75-79,449,484,933
2021,80-84,490,545,1035
2021,85-89,230,319,549
2021,90-94,80,165,245
2021,95-99,17,28,45
2021,100+,0,0,0
2022,0-4,304,293,597
2022,5-9,310,266,576
2022,10-14,336,290,626
2022,15-19,467,424,891
2022,20-24,678,611,1289
2022,25-29,810,677,1487
2022,30-34,719,568,1287
2022,35-39,677,591,1268
2022,40-44,839,767,1606
2022,45-49,845,763,1608
2022,50-54,1030,822,1852
2022,55-59,1300,894,2194
2022,60-64,1201,907,2108
2022,65-69,939,843,1782
2022,70-74,778,735,1513
2022,75-79,424,502,926
2022,80-84,480,515,995
2022,85-89,259,344,603
2022,90-94,84,168,252
2022,95-99,18,31,49
2022,100+,0,0,0
2023,0-4,319,310,629
2023,5-9,314,268,582
2023,10-14,308,272,580
2023,15-19,431,376,807
2023,20-24,657,610,1267
2023,25-29,798,662,1460
2023,30-34,719,598,1317
2023,35-39,663,572,1235
2023,40-44,816,735,1551
2023,45-49,858,761,1619
2023,50-54,953,807,1760
2023,55-59,1247,888,2135
2023,60-64,1243,889,2132
2023,65-69,963,859,1822
2023,70-74,804,752,1556
2023,75-79,454,509,963
2023,80-84,447,503,950
2023,85-89,273,362,635
2023,90-94,99,173,272
2023,95-99,22,40,62
2023,100+,0,0,0
2024,0-4,342,320,662
2024,5-9,289,263,552
2024,10-14,322,273,595
2024,15-19,375,356,731
2024,20-24,634,576,1210
2024,25-29,786,648,1434
2024,30-34,723,609,1332
2024,35-39,672,561,1233
2024,40-44,796,682,1478
2024,45-49,852,780,1632
2024,50-54,892,801,1693
2024,55-59,1216,853,2069
2024,60-64,1222,885,2107
2024,65-69,999,905,1904
2024,70-74,846,743,1589
2024,75-79,469,536,1005
2024,80-84,427,490,917
2024,85-89,284,369,653
2024,90-94,108,175,283
2024,95-99,21,48,69
2024,100+,0,0,0
2025,0-4,345,323,668
2025,5-9,297,263,560
2025,10-14,308,286,594
2025,15-19,366,317,683
2025,20-24,553,534,1087
2025,25-29,780,643,1423
2025,30-34,752,641,1393
2025,35-39,691,529,1220
2025,40-44,757,669,1426
2025,45-49,840,782,1622
2025,50-54,840,777,1617
2025,55-59,1153,841,1994
2025,60-64,1230,912,2142
2025,65-69,1063,880,1943
2025,70-74,852,787,1639
2025,75-79,514,567,1081
2025,80-84,385,435,820
2025,85-89,299,384,683
2025,90-94,114,184,298
2025,95-99,25,56,81
2025,100+,0,0,0
2026,0-4,349,326,675
2026,5-9,297,276,573
2026,10-14,314,288,602
2026,15-19,345,282,627
2026,20-24,505,495,1000
2026,25-29,726,627,1353
2026,30-34,809,660,1469
2026,35-39,682,543,1225
2026,40-44,718,624,1342
2026,45-49,832,784,1616
2026,50-54,822,764,1586
2026,55-59,1068,828,1896
2026,60-64,1261,892,2153
2026,65-69,1072,878,1950
2026,70-74,845,788,1633
2026,75-79,604,635,1239
2026,80-84,336,404,740
2026,85-89,318,400,718
2026,90-94,117,185,302
2026,95-99,30,65,95
2026,100+,0,0,0
2027,0-4,352,329,681
2027,5-9,304,293,597
2027,10-14,310,266,576
2027,15-19,336,290,626
2027,20-24,467,424,891
2027,25-29,678,611,1289
2027,30-34,810,677,1487
2027,35-39,719,568,1287
2027,40-44,675,591,1266
2027,45-49,816,767,1583
2027,50-54,820,763,1583
2027,55-59,994,816,1810
2027,60-64,1241,869,2110
2027,65-69,1121,880,2001
2027,70-74,844,799,1643
2027,75-79,654,669,1323
2027,80-84,318,421,739
2027,85-89,311,376,687
2027,90-94,132,201,333
2027,95-99,31,65,96
2027,100+,0,0,0
2028,0-4,353,330,683
2028,5-9,319,310,629
2028,10-14,314,268,582
2028,15-19,308,272,580
2028,20-24,431,376,807
2028,25-29,657,610,1267
2028,30-34,798,662,1460
2028,35-39,719,598,1317
2028,40-44,663,572,1235
2028,45-49,794,735,1529
2028,50-54,833,761,1594
2028,55-59,920,802,1722
2028,60-64,1190,864,2054
2028,65-69,1163,862,2025
2028,70-74,867,814,1681
2028,75-79,677,686,1363
2028,80-84,345,430,775
2028,85-89,289,369,658
2028,90-94,141,213,354
2028,95-99,36,67,103
2028,100+,0,0,0
2029,0-4,352,329,681
2029,5-9,342,320,662
2029,10-14,289,263,552
2029,15-19,322,273,595
2029,20-24,375,356,731
2029,25-29,634,576,1210
2029,30-34,786,648,1434
2029,35-39,723,609,1332
2029,40-44,672,561,1233
2029,45-49,776,682,1458
2029,50-54,827,780,1607
2029,55-59,862,797,1659
2029,60-64,1159,830,1989
2029,65-69,1144,860,2004
2029,70-74,902,859,1761
2029,75-79,713,679,1392
2029,80-84,358,456,814
2029,85-89,275,360,635
2029,90-94,146,217,363
2029,95-99,39,68,107
2029,100+,0,0,0
2030,0-4,350,326,676
2030,5-9,345,323,668
2030,10-14,297,263,560
2030,15-19,308,286,594
2030,20-24,366,317,683
2030,25-29,553,534,1087
2030,30-34,780,643,1423
2030,35-39,752,641,1393
2030,40-44,691,529,1220
2030,45-49,740,669,1409
2030,50-54,815,782,1597
2030,55-59,813,774,1587
2030,60-64,1098,817,1915
2030,65-69,1151,886,2037
2030,70-74,958,836,1794
2030,75-79,718,718,1436
2030,80-84,392,483,875
2030,85-89,248,319,567
2030,90-94,155,226,381
2030,95-99,41,72,113
2030,100+,0,0,0
2031,0-4,345,322,667
2031,5-9,349,326,675
2031,10-14,297,276,573
2031,15-19,314,288,602
2031,20-24,345,282,627
2031,25-29,505,495,1000
2031,30-34,726,627,1353
2031,35-39,809,660,1469
2031,40-44,682,543,1225
2031,45-49,704,624,1328
2031,50-54,807,784,1591
2031,55-59,797,762,1559
2031,60-64,1018,805,1823
2031,65-69,1181,866,2047
2031,70-74,966,834,1800
2031,75-79,714,719,1433
2031,80-84,462,540,1002
2031,85-89,216,298,514
2031,90-94,164,235,399
2031,95-99,43,73,116
2031,100+,0,0,0
2032,0-4,339,316,655
2032,5-9,352,329,681
2032,10-14,304,293,597
2032,15-19,310,266,576
2032,20-24,336,290,626
2032,25-29,467,424,891
2032,30-34,678,611,1289
2032,35-39,810,677,1487
2032,40-44,718,568,1286
2032,45-49,663,591,1254
2032,50-54,791,767,1558
2032,55-59,795,761,1556
2032,60-64,948,794,1742
2032,65-69,1161,844,2005
2032,70-74,1011,836,1847
2032,75-79,711,730,1441
2032,80-84,500,568,1068
2032,85-89,204,312,516
2032,90-94,160,219,379
2032,95-99,49,80,129
2032,100+,0,0,0
2033,0-4,332,309,641
2033,5-9,353,330,683
2033,10-14,319,310,629
2033,15-19,314,268,582
2033,20-24,308,272,580
2033,25-29,431,376,807
2033,30-34,657,610,1267
2033,35-39,798,662,1460
2033,40-44,719,598,1317
2033,45-49,651,572,1223
2033,50-54,769,735,1504
2033,55-59,808,759,1567
2033,60-64,878,781,1659
2033,65-69,1114,838,1952
2033,70-74,1047,819,1866
2033,75-79,731,744,1475
2033,80-84,517,582,1099
2033,85-89,224,321,545
2033,90-94,148,215,363
2033,95-99,52,85,137
2033,100+,0,0,0
2034,0-4,325,302,627
2034,5-9,352,329,681
2034,10-14,342,320,662
2034,15-19,289,263,552
2034,20-24,322,273,595
2034,25-29,375,356,731
2034,30-34,634,576,1210
2034,35-39,786,648,1434
2034,40-44,723,609,1332
2034,45-49,660,561,1221
2034,50-54,751,682,1433
2034,55-59,802,779,1581
2034,60-64,824,776,1600
2034,65-69,1086,804,1890
2034,70-74,1031,818,1849
2034,75-79,761,784,1545
2034,80-84,544,576,1120
2034,85-89,232,341,573
2034,90-94,139,209,348
2034,95-99,53,86,139
2034,100+,0,0,0
2035,0-4,315,293,608
2035,5-9,350,326,676
2035,10-14,345,323,668
2035,15-19,297,263,560
2035,20-24,308,286,594
2035,25-29,366,317,683
2035,30-34,553,534,1087
2035,35-39,780,643,1423
2035,40-44,752,641,1393
2035,45-49,678,529,1207
2035,50-54,716,669,1385
2035,55-59,790,782,1572
2035,60-64,779,755,1534
2035,65-69,1031,792,1823
2035,70-74,1042,844,1886
2035,75-79,812,764,1576
2035,80-84,547,611,1158
2035,85-89,257,362,619
2035,90-94,125,187,312
2035,95-99,56,89,145
2035,100+,0,0,0
2036,0-4,303,282,585
2036,5-9,345,322,667
2036,10-14,349,326,675
2036,15-19,297,276,573
2036,20-24,314,288,602
2036,25-29,345,282,627
2036,30-34,505,495,1000
2036,35-39,726,627,1353
2036,40-44,808,660,1468
2036,45-49,670,543,1213
2036,50-54,679,624,1303
2036,55-59,782,784,1566
2036,60-64,767,745,1512
2036,65-69,957,780,1737
2036,70-74,1069,826,1895
2036,75-79,822,766,1588
2036,80-84,546,617,1163
2036,85-89,308,409,717
2036,90-94,110,179,289
2036,95-99,59,95,154
2036,100+,0,0,0
2037,0-4,288,268,556
2037,5-9,339,316,655
2037,10-14,352,329,681
2037,15-19,304,293,597
2037,20-24,310,266,576
2037,25-29,336,290,626
2037,30-34,467,424,891
2037,35-39,678,611,1289
2037,40-44,810,677,1487
2037,45-49,705,568,1273
2037,50-54,639,591,1230
2037,55-59,766,766,1532
2037,60-64,769,747,1516
2037,65-69,890,769,1659
2037,70-74,1054,805,1859
2037,75-79,863,770,1633
2037,80-84,547,628,1175
2037,85-89,335,431,766
2037,90-94,107,191,298
2037,95-99,59,89,148
2037,100+,0,0,0
2038,0-4,272,253,525
2038,5-9,332,309,641
2038,10-14,353,330,683
2038,15-19,319,310,629
2038,20-24,314,268,582
2038,25-29,308,272,580
2038,30-34,431,376,807
2038,35-39,657,610,1267
2038,40-44,798,662,1460
2038,45-49,706,598,1304
2038,50-54,626,572,1198
2038,55-59,744,733,1477
2038,60-64,782,747,1529
2038,65-69,826,756,1582
2038,70-74,1014,802,1816
2038,75-79,898,755,1653
2038,80-84,568,642,1210
2038,85-89,350,445,795
2038,90-94,119,199,318
2038,95-99,55,90,145
2038,100+,0,0,0
2039,0-4,255,239,494
2039,5-9,325,302,627
2039,10-14,352,329,681
2039,15-19,342,320,662
2039,20-24,289,263,552
2039,25-29,322,273,595
2039,30-34,375,356,731
2039,35-39,634,576,1210
2039,40-44,784,648,1432
2039,45-49,710,609,1319
2039,50-54,635,561,1196
2039,55-59,726,682,1408
2039,60-64,774,766,1540
2039,65-69,777,751,1528
2039,70-74,989,771,1760
2039,75-79,884,755,1639
2039,80-84,594,677,1271
2039,85-89,369,442,811
2039,90-94,126,216,342
2039,95-99,52,89,141
2039,100+,0,0,0
2040,0-4,239,225,464
2040,5-9,315,293,608
2040,10-14,350,326,676
2040,15-19,345,323,668
2040,20-24,297,263,560
2040,25-29,308,286,594
2040,30-34,366,317,683
2040,35-39,553,534,1087
2040,40-44,778,643,1421
2040,45-49,737,641,1378
2040,50-54,653,529,1182
2040,55-59,691,669,1360
2040,60-64,760,769,1529
2040,65-69,735,730,1465
2040,70-74,939,760,1699
2040,75-79,894,777,1671
2040,80-84,633,659,1292
2040,85-89,370,468,838
2040,90-94,141,225,366
2040,95-99,45,80,125
2040,100+,0,0,0
2041,0-4,225,211,436
2041,5-9,303,282,585
2041,10-14,345,322,667
2041,15-19,349,326,675
2041,20-24,297,276,573
2041,25-29,314,288,602
2041,30-34,345,282,627
2041,35-39,505,495,1000
2041,40-44,725,627,1352
2041,45-49,790,660,1450
2041,50-54,646,543,1189
2041,55-59,654,624,1278
2041,60-64,753,771,1524
2041,65-69,722,720,1442
2041,70-74,871,749,1620
2041,75-79,917,761,1678
2041,80-84,642,661,1303
2041,85-89,369,473,842
2041,90-94,168,256,424
2041,95-99,41,77,118
2041,100+,0,0,0
2042,0-4,213,199,412
2042,5-9,288,268,556
2042,10-14,339,316,655
2042,15-19,352,329,681
2042,20-24,304,293,597
2042,25-29,310,266,576
2042,30-34,336,290,626
2042,35-39,467,424,891
2042,40-44,678,611,1289
2042,45-49,791,677,1468
2042,50-54,680,568,1248
2042,55-59,614,591,1205
2042,60-64,738,754,1492
2042,65-69,723,722,1445
2042,70-74,810,738,1548
2042,75-79,904,743,1647
2042,80-84,673,665,1338
2042,85-89,368,481,849
2042,90-94,182,271,453
2042,95-99,40,83,123
2042,100+,0,0,0
2043,0-4,201,188,389
2043,5-9,272,253,525
2043,10-14,332,309,641
2043,15-19,353,330,683
2043,20-24,319,310,629
2043,25-29,314,268,582
2043,30-34,308,272,580
2043,35-39,431,376,807
2043,40-44,657,610,1267
2043,45-49,780,662,1442
2043,50-54,681,598,1279
2043,55-59,601,572,1173
2043,60-64,719,723,1442
2043,65-69,734,722,1456
2043,70-74,754,725,1479
2043,75-79,869,739,1608
2043,80-84,699,651,1350
2043,85-89,381,493,874
2043,90-94,190,280,470
2043,95-99,45,87,132
2043,100+,0,0,0
2044,0-4,191,178,369
2044,5-9,255,239,494
2044,10-14,325,302,627
2044,15-19,352,329,681
2044,20-24,342,320,662
2044,25-29,289,263,552
2044,30-34,322,273,595
2044,35-39,375,356,731
2044,40-44,633,576,1209
2044,45-49,769,648,1417
2044,50-54,685,609,1294
2044,55-59,610,561,1171
2044,60-64,700,674,1374
2044,65-69,728,741,1469
2044,70-74,708,720,1428
2044,75-79,845,710,1555
2044,80-84,688,652,1340
2044,85-89,400,520,920
2044,90-94,197,278,475
2044,95-99,48,95,143
2044,100+,0,0,0
2045,0-4,185,172,357
2045,5-9,239,225,464
2045,10-14,315,293,608
2045,15-19,350,326,676
2045,20-24,345,323,668
2045,25-29,297,263,560
2045,30-34,308,286,594
2045,35-39,366,317,683
2045,40-44,553,534,1087
2045,45-49,763,643,1406
2045,50-54,712,641,1353
2045,55-59,628,529,1157
2045,60-64,665,664,1329
2045,65-69,719,744,1463
2045,70-74,672,700,1372
2045,75-79,805,702,1507
2045,80-84,698,672,1370
2045,85-89,430,506,936
2045,90-94,197,294,491
2045,95-99,54,99,153
2045,100+,0,0,0
2046,0-4,181,169,350
2046,5-9,225,211,436
2046,10-14,303,282,585
2046,15-19,345,322,667
2046,20-24,349,326,675
2046,25-29,297,276,573
2046,30-34,314,288,602
2046,35-39,345,282,627
2046,40-44,505,495,1000
2046,45-49,712,627,1339
2046,50-54,765,660,1425
2046,55-59,621,543,1164
2046,60-64,629,622,1251
2046,65-69,713,746,1459
2046,70-74,662,692,1354
2046,75-79,749,692,1441
2046,80-84,719,659,1378
2046,85-89,436,510,946
2046,90-94,200,300,500
2046,95-99,64,116,180
2046,100+,0,0,0
2047,0-4,179,168,347
2047,5-9,213,199,412
2047,10-14,288,268,556
2047,15-19,339,316,655
2047,20-24,352,329,681
2047,25-29,304,293,597
2047,30-34,310,266,576
2047,35-39,336,290,626
2047,40-44,467,424,891
2047,45-49,667,611,1278
2047,50-54,766,677,1443
2047,55-59,655,568,1223
2047,60-64,589,591,1180
2047,65-69,700,731,1431
2047,70-74,664,695,1359
2047,75-79,700,682,1382
2047,80-84,711,644,1355
2047,85-89,458,516,974
2047,90-94,200,308,508
2047,95-99,70,123,193
2047,100+,0,0,0
2048,0-4,179,169,348
2048,5-9,201,188,389
2048,10-14,272,253,525
2048,15-19,332,309,641
2048,20-24,353,330,683
2048,25-29,319,310,629
2048,30-34,314,268,582
2048,35-39,308,272,580
2048,40-44,431,376,807
2048,45-49,647,610,1257
2048,50-54,755,662,1417
2048,55-59,656,598,1254
2048,60-64,576,572,1148
2048,65-69,682,703,1385
2048,70-74,675,695,1370
2048,75-79,651,673,1324
2048,80-84,684,641,1325
2048,85-89,479,506,985
2048,90-94,209,319,528
2048,95-99,75,127,202
2048,100+,0,0,0
2049,0-4,180,170,350
2049,5-9,191,178,369
2049,10-14,255,239,494
2049,15-19,325,302,627
2049,20-24,352,329,681
2049,25-29,342,320,662
2049,30-34,289,263,552
2049,35-39,322,273,595
2049,40-44,375,356,731
2049,45-49,626,576,1202
2049,50-54,744,648,1392
2049,55-59,660,609,1269
2049,60-64,585,560,1145
2049,65-69,664,657,1321
2049,70-74,669,715,1384
2049,75-79,612,670,1282
2049,80-84,666,619,1285
2049,85-89,474,510,984
2049,90-94,221,337,558
2049,95-99,78,127,205
2049,100+,0,0,0
2050,0-4,179,169,348
2050,5-9,185,172,357
2050,10-14,239,225,464
2050,15-19,315,293,608
2050,20-24,350,326,676
2050,25-29,345,323,668
2050,30-34,297,263,560
2050,35-39,308,286,594
2050,40-44,366,317,683
2050,45-49,550,534,1084
2050,50-54,738,643,1381
2050,55-59,687,641,1328
2050,60-64,603,529,1132
2050,65-69,630,647,1277
2050,70-74,660,717,1377
2050,75-79,581,652,1233
2050,80-84,635,612,1247
2050,85-89,482,525,1007
2050,90-94,238,325,563
2050,95-99,77,134,211
2050,100+,0,0,0
2051,0-4,179,168,347
2051,5-9,181,169,350
2051,10-14,225,211,436
2051,15-19,303,282,585
2051,20-24,345,322,667
2051,25-29,349,326,675
2051,30-34,297,276,573
2051,35-39,314,288,602
2051,40-44,345,282,627
2051,45-49,504,495,999
2051,50-54,688,627,1315
2051,55-59,740,660,1400
2051,60-64,596,543,1139
2051,65-69,597,607,1204
2051,70-74,656,718,1374
2051,75-79,573,644,1217
2051,80-84,591,604,1195
2051,85-89,495,516,1011
2051,90-94,241,329,570
2051,95-99,79,138,217
2051,100+,0,0,0
2052,0-4,179,167,346
2052,5-9,179,168,347
2052,10-14,213,199,412
2052,15-19,288,268,556
2052,20-24,339,316,655
2052,25-29,352,329,681
2052,30-34,304,293,597
2052,35-39,310,266,576
2052,40-44,336,290,626
2052,45-49,466,424,890
2052,50-54,645,611,1256
2052,55-59,741,677,1418
2052,60-64,630,568,1198
2052,65-69,559,577,1136
2052,70-74,643,703,1346
2052,75-79,576,647,1223
2052,80-84,550,596,1146
2052,85-89,488,503,991
2052,90-94,253,333,586
2052,95-99,79,142,221
2052,100+,0,0,0
2053,0-4,179,166,345
2053,5-9,179,169,348
2053,10-14,201,188,389
2053,15-19,272,253,525
2053,20-24,332,309,641
2053,25-29,353,330,683
2053,30-34,319,310,629
2053,35-39,314,268,582
2053,40-44,308,272,580
2053,45-49,430,376,806
2053,50-54,627,610,1237
2053,55-59,730,662,1392
2053,60-64,631,598,1229
2053,65-69,549,559,1108
2053,70-74,626,675,1301
2053,75-79,587,647,1234
2053,80-84,512,587,1099
2053,85-89,470,499,969
2053,90-94,265,326,591
2053,95-99,82,147,229
2053,100+,0,0,0
2054,0-4,179,166,345
2054,5-9,180,170,350
2054,10-14,191,178,369
2054,15-19,255,239,494
2054,20-24,325,302,627
2054,25-29,352,329,681
2054,30-34,342,320,662
2054,35-39,289,263,552
2054,40-44,322,273,595
2054,45-49,375,356,731
2054,50-54,607,576,1183
2054,55-59,719,648,1367
2054,60-64,635,609,1244
2054,65-69,559,550,1109
2054,70-74,609,631,1240
2054,75-79,581,665,1246
2054,80-84,482,585,1067
2054,85-89,454,483,937
2054,90-94,263,331,594
2054,95-99,87,155,242
2054,100+,0,0,0
2055,0-4,181,167,348
2055,5-9,179,169,348
2055,10-14,185,172,357
2055,15-19,239,225,464
2055,20-24,315,293,608
2055,25-29,350,326,676
2055,30-34,345,323,668
2055,35-39,297,263,560
2055,40-44,308,286,594
2055,45-49,366,317,683
2055,50-54,533,534,1067
2055,55-59,713,643,1356
2055,60-64,662,641,1303
2055,65-69,576,522,1098
2055,70-74,580,621,1201
2055,75-79,573,669,1242
2055,80-84,460,571,1031
2055,85-89,436,481,917
2055,90-94,267,341,608
2055,95-99,96,151,247
2055,100+,0,0,0
2056,0-4,182,168,350
2056,5-9,179,168,347
2056,10-14,181,169,350
2056,15-19,225,211,436
2056,20-24,303,282,585
2056,25-29,345,322,667
2056,30-34,349,326,675
2056,35-39,297,276,573
2056,40-44,314,288,602
2056,45-49,345,282,627
2056,50-54,490,495,985
2056,55-59,663,627,1290
2056,60-64,715,660,1375
2056,65-69,570,537,1107
2056,70-74,549,582,1131
2056,75-79,571,671,1242
2056,80-84,455,564,1019
2056,85-89,409,476,885
2056,90-94,274,337,611
2056,95-99,97,155,252
2056,100+,0,0,0
2057,0-4,183,169,352
2057,5-9,179,167,346
2057,10-14,179,168,347
2057,15-19,213,199,412
2057,20-24,288,268,556
2057,25-29,339,316,655
2057,30-34,352,329,681
2057,35-39,304,293,597
2057,40-44,310,266,576
2057,45-49,336,290,626
2057,50-54,456,424,880
2057,55-59,620,611,1231
2057,60-64,716,677,1393
2057,65-69,602,563,1165
2057,70-74,515,552,1067
2057,75-79,560,657,1217
2057,80-84,459,570,1029
2057,85-89,383,471,854
2057,90-94,272,331,603
2057,95-99,103,160,263
2057,100+,0,0,0
2058,0-4,184,171,355
2058,5-9,179,166,345
2058,10-14,179,169,348
2058,15-19,201,188,389
2058,20-24,272,253,525
2058,25-29,332,309,641
2058,30-34,353,330,683
2058,35-39,319,310,629
2058,40-44,314,268,582
2058,45-49,308,272,580
2058,50-54,425,376,801
2058,55-59,602,610,1212
2058,60-64,705,662,1367
2058,65-69,604,591,1195
2058,70-74,506,536,1042
2058,75-79,547,631,1178
2058,80-84,469,571,1040
