year,male,female,total
2019,5678,5266,10944
2020,5656,5258,10914
2021,5632,5249,10881
2022,5610,5240,10850
2023,5584,5230,10814
2024,5556,5220,10776
2025,5531,5211,10742
2026,5502,5198,10700
2027,5467,5185,10652
2028,5428,5170,10598
2029,5386,5148,10534
2030,5339,5120,10459
2031,5288,5093,10381
2032,5235,5061,10296
2033,5179,5026,10205
2034,5118,4990,10108
2035,5066,4956,10022
2036,5009,4920,9929
2037,4948,4879,9827
2038,4882,4834,9716
2039,4816,4787,9603
2040,4747,4737,9484
2041,4677,4684,9361
2042,4608,4627,9235
2043,4536,4569,9105
2044,4459,4510,8969
2045,4391,4455,8846
2046,4320,4392,8712
2047,4249,4330,8579
2048,4178,4266,8444
2049,4107,4200,8307
2050,4034,4135,8169
2051,3962,4070,8032
2052,3888,4005,7893
2053,3817,3941,7758
2054,3747,3878,7625
2055,3684,3821,7505
2056,3622,3759,7381
2057,3562,3697,7259
2058,3508,3636,7144
2059,3452,3578,7030
2060,3396,3520,6916
2061,3338,3462,6800
2062,3280,3403,6683
2063,3220,3341,6561
2064,3162,3279,6441
2065,3106,3219,6325
