year,male,female,total
2019,23427,22177,45604
2020,23420,22217,45637
2021,23405,22254,45659
2022,23384,22283,45667
2023,23355,22303,45658
2024,23314,22311,45625
2025,23278,22325,45603
2026,23236,22335,45571
2027,23184,22336,45520
2028,23125,22328,45453
2029,23052,22306,45358
2030,22969,22273,45242
2031,22872,22233,45105
2032,22754,22180,44934
2033,22629,22115,44744
2034,22495,22040,44535
2035,22365,21975,44340
2036,22218,21897,44115
2037,22060,21802,43862
2038,21896,21696,43592
2039,21715,21578,43293
2040,21524,21451,42975
2041,21319,21311,42630
2042,21117,21159,42276
2043,20906,21002,41908
2044,20684,20832,41516
2045,20480,20676,41156
2046,20272,20512,40784
2047,20059,20338,40397
2048,19841,20156,39997
2049,19624,19967,39591
2050,19396,19774,39170
2051,19165,19568,38733
2052,18932,19361,38293
2053,18694,19149,37843
2054,18454,18929,37383
2055,18225,18727,36952
2056,17994,18519,36513
2057,17764,18311,36075
2058,17524,18096,35620
2059,17279,17878,35157
2060,17031,17656,34687
2061,16784,17426,34210
2062,16532,17204,33736
2063,16278,16972,33250
2064,16024,16745,32769
2065,15780,16527,32307
