year,age_range,male,female,total
2019,0-4,1644,1625,3269
2019,5-9,2100,1943,4043
2019,10-14,2190,1938,4128
2019,15-19,2368,2160,4528
2019,20-24,2684,2383,5067
2019,25-29,2824,2508,5332
2019,30-34,2640,2615,5255
2019,35-39,3446,3792,7238
2019,40-44,3942,4139,8081
2019,45-49,3300,3180,6480
2019,50-54,2623,2841,5464
2019,55-59,2497,2922,5419
2019,60-64,2313,2844,5157
2019,65-69,1972,2311,4283
2019,70-74,1117,1180,2297
2019,75-79,613,757,1370
2019,80-84,320,428,748
2019,85-89,178,200,378
2019,90-94,103,81,184
2019,95-99,20,18,38
2019,100+,1,5,6
2020,0-4,1580,1557,3137
2020,5-9,2127,1934,4061
2020,10-14,2113,1933,4046
2020,15-19,2257,2067,4324
2020,20-24,2652,2377,5029
2020,25-29,2829,2457,5286
2020,30-34,2655,2542,5197
2020,35-39,3271,3586,6857
2020,40-44,3954,4181,8135
2020,45-49,3341,3340,6681
2020,50-54,2746,2848,5594
2020,55-59,2517,2963,5480
2020,60-64,2284,2823,5107
2020,65-69,2100,2483,4583
2020,70-74,1243,1345,2588
2020,75-79,635,778,1413
2020,80-84,346,472,818
2020,85-89,163,220,383
2020,90-94,115,88,203
2020,95-99,19,19,38
2020,100+,0,0,0
2021,0-4,1577,1522,3099
2021,5-9,2033,1924,3957
2021,10-14,2109,1884,3993
2021,15-19,2193,2006,4199
2021,20-24,2589,2337,4926
2021,25-29,2847,2486,5333
2021,30-34,2687,2518,5205
2021,35-39,3009,3261,6270
2021,40-44,3899,4189,8088
2021,45-49,3508,3577,7085
2021,50-54,2827,2846,5673
2021,55-59,2520,2952,5472
2021,60-64,2291,2810,5101
2021,65-69,2104,2591,4695
2021,70-74,1461,1597,3058
2021,75-79,675,787,1462
2021,80-84,379,506,885
2021,85-89,157,251,408
2021,90-94,112,85,197
2021,95-99,24,24,48
2021,100+,0,0,0
2022,0-4,1570,1522,3092
2022,5-9,1907,1776,3683
2022,10-14,2132,1955,4087
2022,15-19,2189,2028,4217
2022,20-24,2474,2171,4645
2022,25-29,2883,2551,5434
2022,30-34,2714,2476,5190
2022,35-39,2806,2996,5802
2022,40-44,3774,4111,7885
2022,45-49,3649,3837,7486
2022,50-54,2923,2875,5798
2022,55-59,2575,2933,5508
2022,60-64,2311,2800,5111
2022,65-69,2131,2651,4782
2022,70-74,1554,1835,3389
2022,75-79,761,837,1598
2022,80-84,396,541,937
2022,85-89,161,273,434
2022,90-94,110,104,214
2022,95-99,31,25,56
2022,100+,0,0,0
2023,0-4,1608,1524,3132
2023,5-9,1787,1726,3513
2023,10-14,2109,1925,4034
2023,15-19,2186,2006,4192
2023,20-24,2436,2160,4596
2023,25-29,2746,2462,5208
2023,30-34,2794,2498,5292
2023,35-39,2683,2790,5473
2023,40-44,3605,3945,7550
2023,45-49,3783,4001,7784
2023,50-54,3084,2986,6070
2023,55-59,2503,2858,5361
2023,60-64,2387,2841,5228
2023,65-69,2130,2708,4838
2023,70-74,1675,2032,3707
2023,75-79,828,962,1790
2023,80-84,431,565,996
2023,85-89,182,297,479
2023,90-94,97,106,203
2023,95-99,33,29,62
2023,100+,0,0,0
2024,0-4,1672,1556,3228
