year,male,female,total
2019,102413,102975,205388
2020,102467,103366,205833
2021,102514,103728,206242
2022,102536,104045,206581
2023,102524,104316,206840
2024,102477,104541,207018
2025,102436,104762,207198
2026,102370,104942,207312
2027,102266,105075,207341
2028,102118,105159,207277
2029,101928,105179,207107
2030,101697,105145,206842
2031,101421,105055,206476
2032,101101,104906,206007
2033,100738,104706,205444
2034,100324,104456,204780
2035,99954,104247,204201
2036,99539,103976,203515
2037,99073,103650,202723
2038,98565,103274,201839
2039,98019,102848,200867
2040,97426,102369,199795
2041,96801,101841,198642
2042,96136,101263,197399
2043,95438,100642,196080
2044,94716,99978,194694
2045,94041,99378,193419
2046,93333,98728,192061
2047,92593,98021,190614
2048,91827,97266,189093
2049,91027,96468,187495
2050,90197,95626,185823
2051,89330,94728,184058
2052,88422,93798,182220
2053,87484,92842,180326
2054,86514,91842,178356
2055,85596,90919,176515
2056,84645,89961,174606
2057,83660,88975,172635
2058,82649,87954,170603
2059,81603,86908,168511
2060,80533,85842,166375
2061,79446,84747,164193
2062,78332,83629,161961
2063,77201,82480,159681
2064,76059,81322,157381
2065,74955,80213,155168
