year,male,female,total
2019,33427,32216,65643
2020,33434,32292,65726
2021,33437,32366,65803
2022,33423,32426,65849
2023,33399,32476,65875
2024,33361,32516,65877
2025,33326,32562,65888
2026,33284,32595,65879
2027,33228,32623,65851
2028,33158,32633,65791
2029,33072,32635,65707
2030,32971,32618,65589
2031,32853,32582,65435
2032,32713,32528,65241
2033,32558,32461,65019
2034,32389,32374,64763
2035,32231,32301,64532
2036,32055,32209,64264
2037,31863,32096,63959
2038,31653,31962,63615
2039,31427,31816,63243
2040,31184,31649,62833
2041,30932,31469,62401
2042,30669,31273,61942
2043,30396,31060,61456
2044,30116,30837,60953
2045,29858,30630,60488
2046,29586,30411,59997
2047,29307,30179,59486
2048,29018,29931,58949
2049,28721,29669,58390
2050,28421,29396,57817
2051,28110,29109,57219
2052,27793,28812,56605
2053,27470,28510,55980
2054,27143,28201,55344
2055,26835,27913,54748
2056,26522,27617,54139
2057,26202,27315,53517
2058,25878,27008,52886
2059,25553,26693,52246
2060,25225,26369,51594
2061,24888,26044,50932
2062,24548,25715,50263
2063,24203,25373,49576
2064,23852,25037,48889
2065,23519,24719,48238
