year,age_range,male,female,total
2019,0-4,357,324,681
2019,5-9,274,263,537
2019,10-14,280,233,513
2019,15-19,507,515,1022
2019,20-24,721,644,1365
2019,25-29,809,736,1545
2019,30-34,767,658,1425
2019,35-39,841,707,1548
2019,40-44,751,687,1438
2019,45-49,721,671,1392
2019,50-54,907,755,1662
2019,55-59,1050,826,1876
2019,60-64,942,750,1692
2019,65-69,735,683,1418
2019,70-74,430,472,902
2019,75-79,392,450,842
2019,80-84,294,368,662
2019,85-89,162,253,415
2019,90-94,50,89,139
2019,95-99,5,21,26
2019,100+,1,2,3
2020,0-4,349,322,671
2020,5-9,309,277,586
2020,10-14,250,237,487
2020,15-19,450,448,898
2020,20-24,689,618,1307
2020,25-29,821,738,1559
2020,30-34,769,665,1434
2020,35-39,823,695,1518
2020,40-44,795,713,1508
2020,45-49,686,640,1326
2020,50-54,844,740,1584
2020,55-59,1017,824,1841
2020,60-64,988,753,1741
2020,65-69,767,711,1478
2020,70-74,486,510,996
2020,75-79,369,430,799
2020,80-84,284,380,664
2020,85-89,179,257,436
2020,90-94,61,100,161
2020,95-99,8,23,31
2020,100+,0,0,0
2021,0-4,341,318,659
2021,5-9,329,299,628
2021,10-14,255,241,496
2021,15-19,405,367,772
2021,20-24,648,613,1261
2021,25-29,799,713,1512
2021,30-34,779,682,1461
2021,35-39,821,684,1505
2021,40-44,788,716,1504
2021,45-49,691,648,1339
2021,50-54,792,734,1526
2021,55-59,1002,806,1808
2021,60-64,1013,761,1774
2021,65-69,770,716,1486
2021,70-74,578,557,1135
2021,75-79,319,396,715
2021,80-84,294,398,692
2021,85-89,185,265,450
2021,90-94,71,108,179
2021,95-99,8,27,35
2021,100+,0,0,0
2022,0-4,349,301,650
2022,5-9,328,321,649
2022,10-14,267,259,526
2022,15-19,354,302,656
2022,20-24,590,607,1197
2022,25-29,792,685,1477
2022,30-34,813,697,1510
2022,35-39,783,672,1455
2022,40-44,806,716,1522
2022,45-49,696,656,1352
2022,50-54,761,695,1456
2022,55-59,965,827,1792
2022,60-64,1018,762,1780
2022,65-69,772,714,1486
2022,70-74,641,582,1223
2022,75-79,321,403,724
2022,80-84,284,390,674
2022,85-89,192,273,465
2022,90-94,76,118,194
2022,95-99,12,30,42
2022,100+,0,0,0
2023,0-4,351,300,651
2023,5-9,343,335,678
2023,10-14,262,262,524
2023,15-19,307,268,575
2023,20-24,566,561,1127
2023,25-29,758,652,1410
2023,30-34,803,739,1542
2023,35-39,793,643,1436
2023,40-44,804,725,1529
2023,45-49,727,663,1390
2023,50-54,704,680,1384
2023,55-59,912,804,1716
2023,60-64,1036,766,1802
2023,65-69,824,707,1531
2023,70-74,650,643,1293
2023,75-79,331,408,739
2023,80-84,300,380,680
2023,85-89,183,266,449
2023,90-94,79,134,213
2023,95-99,12,34,46
2023,100+,0,0,0
2024,0-4,347,322,669
2024,5-9,357,324,681
2024,10-14,274,263,537
2024,15-19,280,233,513
2024,20-24,507,515,1022
2024,25-29,721,644,1365
2024,30-34,809,736,1545
2024,35-39,767,658,1425
2024,40-44,837,707,1544
2024,45-49,732,687,1419
2024,50-54,696,671,1367
2024,55-59,874,748,1622
2024,60-64,998,801,1799
2024,65-69,877,724,1601
2024,70-74,656,646,1302
2024,75-79,359,426,785
2024,80-84,293,375,668
2024,85-89,187,267,454
2024,90-94,80,145,225
2024,95-99,17,34,51
2024,100+,0,0,0
2025,0-4,341,316,657
2025,5-9,349,322,671
2025,10-14,309,277,586
2025,15-19,250,237,487
2025,20-24,450,448,898
2025,25-29,689,618,1307
2025,30-34,821,738,1559
2025,35-39,769,665,1434
2025,40-44,819,695,1514
2025,45-49,774,713,1487
2025,50-54,661,640,1301
2025,55-59,815,736,1551
2025,60-64,967,799,1766
2025,65-69,920,728,1648
2025,70-74,686,673,1359
2025,75-79,408,461,869
2025,80-84,273,359,632
2025,85-89,183,277,460
2025,90-94,91,148,239
2025,95-99,22,38,60
2025,100+,0,0,0
2026,0-4,333,309,642
2026,5-9,341,318,659
2026,10-14,329,299,628
2026,15-19,255,241,496
