year,age_range,male,female,total
2019,0-4,448,447,895
2019,5-9,413,391,804
2019,10-14,372,312,684
2019,15-19,581,541,1122
2019,20-24,803,681,1484
2019,25-29,800,713,1513
2019,30-34,692,633,1325
2019,35-39,985,702,1687
2019,40-44,897,769,1666
2019,45-49,848,805,1653
2019,50-54,841,725,1566
2019,55-59,723,801,1524
2019,60-64,617,741,1358
2019,65-69,517,642,1159
2019,70-74,269,330,599
2019,75-79,201,267,468
2019,80-84,124,175,299
2019,85-89,95,101,196
2019,90-94,54,41,95
2019,95-99,18,11,29
2019,100+,2,1,3
2020,0-4,423,422,845
2020,5-9,429,419,848
2020,10-14,376,308,684
2020,15-19,528,485,1013
2020,20-24,786,653,1439
2020,25-29,796,743,1539
2020,30-34,699,624,1323
2020,35-39,946,715,1661
2020,40-44,918,736,1654
2020,45-49,850,773,1623
2020,50-54,823,784,1607
2020,55-59,767,781,1548
2020,60-64,608,721,1329
2020,65-69,545,693,1238
2020,70-74,311,386,697
2020,75-79,200,262,462
2020,80-84,126,184,310
2020,85-89,90,102,192
2020,90-94,52,48,100
2020,95-99,18,9,27
2020,100+,0,0,0
2021,0-4,395,401,796
2021,5-9,468,436,904
2021,10-14,370,329,699
2021,15-19,479,437,916
2021,20-24,724,600,1324
2021,25-29,806,755,1561
2021,30-34,733,640,1373
2021,35-39,873,703,1576
2021,40-44,957,725,1682
2021,45-49,834,790,1624
2021,50-54,862,780,1642
2021,55-59,765,750,1515
2021,60-64,624,738,1362
2021,65-69,553,704,1257
2021,70-74,361,465,826
2021,75-79,186,242,428
2021,80-84,147,207,354
2021,85-89,75,108,183
2021,90-94,52,46,98
2021,95-99,20,14,34
2021,100+,0,0,0
2022,0-4,396,394,790
2022,5-9,457,447,904
2022,10-14,405,354,759
2022,15-19,430,379,809
2022,20-24,662,591,1253
2022,25-29,835,734,1569
2022,30-34,749,653,1402
2022,35-39,781,705,1486
2022,40-44,980,696,1676
2022,45-49,842,771,1613
2022,50-54,856,817,1673
2022,55-59,782,728,1510
2022,60-64,660,740,1400
2022,65-69,553,727,1280
2022,70-74,408,519,927
2022,75-79,190,245,435
2022,80-84,153,221,374
2022,85-89,67,112,179
2022,90-94,52,45,97
2022,95-99,19,17,36
2022,100+,0,0,0
2023,0-4,412,385,797
2023,5-9,446,448,894
2023,10-14,411,371,782
2023,15-19,399,345,744
2023,20-24,619,564,1183
2023,25-29,812,716,1528
2023,30-34,783,686,1469
2023,35-39,739,657,1396
2023,40-44,968,700,1668
2023,45-49,878,776,1654
2023,50-54,831,817,1648
2023,55-59,792,707,1499
2023,60-64,684,764,1448
2023,65-69,552,731,1283
2023,70-74,457,573,1030
2023,75-79,191,261,452
2023,80-84,150,226,376
2023,85-89,77,120,197
2023,90-94,49,54,103
2023,95-99,18,17,35
2023,100+,0,0,0
2024,0-4,420,390,810
2024,5-9,448,447,895
2024,10-14,413,391,804
2024,15-19,372,312,684
2024,20-24,581,541,1122
2024,25-29,803,681,1484
2024,30-34,800,713,1513
2024,35-39,692,633,1325
2024,40-44,974,702,1676
2024,45-49,873,769,1642
2024,50-54,823,804,1627
2024,55-59,814,725,1539
2024,60-64,690,778,1468
2024,65-69,573,715,1288
2024,70-74,463,608,1071
2024,75-79,226,302,528
2024,80-84,148,221,369
2024,85-89,80,126,206
2024,90-94,47,62,109
2024,95-99,19,18,37
2024,100+,0,0,0
2025,0-4,431,400,831
2025,5-9,423,422,845
2025,10-14,429,419,848
2025,15-19,376,308,684
2025,20-24,528,485,1013
2025,25-29,786,653,1439
2025,30-34,796,743,1539
2025,35-39,699,624,1323
2025,40-44,936,715,1651
2025,45-49,893,736,1629
2025,50-54,825,773,1598
2025,55-59,798,783,1581
2025,60-64,729,762,1491
2025,65-69,563,696,1259
2025,70-74,489,655,1144
2025,75-79,260,353,613
2025,80-84,148,218,366
2025,85-89,81,134,215
2025,90-94,44,61,105
2025,95-99,20,20,40
2025,100+,0,0,0
2026,0-4,439,407,846
2026,5-9,395,401,796
2026,10-14,468,436,904
2026,15-19,370,329,699
2026,20-24,479,437,916
2026,25-29,724,600,1324
2026,30-34,806,755,1561
2026,35-39,733,640,1373
2026,40-44,865,703,1568
2026,45-49,932,725,1657
2026,50-54,809,790,1599
2026,55-59,836,777,1613
2026,60-64,726,733,1459
2026,65-69,577,713,1290
2026,70-74,496,666,1162
2026,75-79,301,423,724
2026,80-84,138,205,343
2026,85-89,95,152,247
2026,90-94,38,64,102
2026,95-99,19,21,40
2026,100+,0,0,0
2027,0-4,441,409,850
2027,5-9,396,394,790
2027,10-14,457,447,904
2027,15-19,405,354,759
2027,20-24,430,379,809
2027,25-29,662,591,1253
2027,30-34,835,734,1569
2027,35-39,749,653,1402
2027,40-44,776,705,1481
2027,45-49,955,696,1651
2027,50-54,817,771,1588
2027,55-59,831,811,1642
2027,60-64,743,714,1457
2027,65-69,611,715,1326
2027,70-74,496,688,1184
2027,75-79,341,471,812
2027,80-84,141,208,349
2027,85-89,97,164,261
2027,90-94,36,63,99
2027,95-99,20,21,41
2027,100+,0,0,0
2028,0-4,440,410,850
2028,5-9,412,385,797
2028,10-14,446,448,894
2028,15-19,411,371,782
2028,20-24,399,345,744
2028,25-29,619,564,1183
2028,30-34,812,716,1528
2028,35-39,783,686,1469
2028,40-44,736,657,1393
2028,45-49,944,700,1644
2028,50-54,853,776,1629
2028,55-59,806,811,1617
2028,60-64,755,692,1447
2028,65-69,634,739,1373
2028,70-74,497,693,1190
2028,75-79,382,522,904
2028,80-84,141,220,361
2028,85-89,98,168,266
2028,90-94,43,69,112
2028,95-99,19,24,43
2028,100+,0,0,0
2029,0-4,436,407,843
2029,5-9,420,390,810
2029,10-14,448,447,895
2029,15-19,413,391,804
2029,20-24,372,312,684
2029,25-29,581,541,1122
2029,30-34,803,681,1484
2029,35-39,800,713,1513
2029,40-44,691,633,1324
2029,45-49,950,702,1652
2029,50-54,848,769,1617
2029,55-59,798,799,1597
2029,60-64,777,708,1485
2029,65-69,641,753,1394
2029,70-74,518,679,1197
2029,75-79,390,554,944
2029,80-84,171,256,427
2029,85-89,96,163,259
2029,90-94,44,73,117
2029,95-99,19,27,46
2029,100+,0,0,0
2030,0-4,430,402,832
2030,5-9,431,400,831
2030,10-14,423,422,845
2030,15-19,429,419,848
2030,20-24,376,308,684
2030,25-29,528,485,1013
2030,30-34,786,653,1439
2030,35-39,796,743,1539
2030,40-44,699,624,1323
2030,45-49,914,715,1629
2030,50-54,868,736,1604
2030,55-59,799,771,1570
2030,60-64,762,761,1523
2030,65-69,679,737,1416
2030,70-74,508,662,1170
2030,75-79,413,597,1010
2030,80-84,199,299,498
2030,85-89,96,158,254
2030,90-94,42,76,118
2030,95-99,18,26,44
2030,100+,0,0,0
2031,0-4,421,393,814
2031,5-9,439,407,846
2031,10-14,395,401,796
2031,15-19,468,436,904
2031,20-24,370,329,699
2031,25-29,479,437,916
2031,30-34,724,600,1324
2031,35-39,806,755,1561
2031,40-44,733,640,1373
2031,45-49,846,703,1549
2031,50-54,907,725,1632
2031,55-59,784,786,1570
2031,60-64,797,757,1554
2031,65-69,678,708,1386
2031,70-74,521,678,1199
2031,75-79,418,607,1025
2031,80-84,233,360,593
2031,85-89,87,147,234
2031,90-94,51,90,141
2031,95-99,14,25,39
2031,100+,0,0,0
2032,0-4,410,382,792
2032,5-9,441,409,850
2032,10-14,396,394,790
2032,15-19,457,447,904
2032,20-24,405,354,759
2032,25-29,430,379,809
2032,30-34,662,591,1253
2032,35-39,835,734,1569
2032,40-44,749,653,1402
2032,45-49,760,705,1465
2032,50-54,930,696,1626
2032,55-59,792,769,1561
2032,60-64,792,790,1582
2032,65-69,695,689,1384
2032,70-74,551,680,1231
2032,75-79,419,627,1046
2032,80-84,262,400,662
2032,85-89,90,152,242
2032,90-94,51,97,148
2032,95-99,13,25,38
2032,100+,0,0,0
2033,0-4,400,371,771
2033,5-9,440,410,850
2033,10-14,412,385,797
2033,15-19,446,448,894
2033,20-24,411,371,782
2033,25-29,399,345,744
2033,30-34,619,564,1183
2033,35-39,812,716,1528
2033,40-44,782,686,1468
2033,45-49,721,657,1378
2033,50-54,919,700,1619
2033,55-59,828,774,1602
2033,60-64,768,790,1558
2033,65-69,706,667,1373
2033,70-74,572,703,1275
2033,75-79,420,632,1052
2033,80-84,290,441,731
2033,85-89,91,164,255
2033,90-94,53,99,152
2033,95-99,16,29,45
2033,100+,0,0,0
2034,0-4,388,360,748
2034,5-9,436,407,843
2034,10-14,420,390,810
2034,15-19,448,447,895
2034,20-24,413,391,804
2034,25-29,372,312,684
2034,30-34,581,541,1122
2034,35-39,803,681,1484
2034,40-44,797,713,1510
2034,45-49,678,633,1311
2034,50-54,925,702,1627
2034,55-59,823,767,1590
2034,60-64,761,779,1540
2034,65-69,726,683,1409
2034,70-74,578,716,1294
2034,75-79,437,618,1055
2034,80-84,296,467,763
2034,85-89,111,191,302
2034,90-94,52,97,149
2034,95-99,17,32,49
2034,100+,0,0,0
2035,0-4,376,349,725
2035,5-9,430,402,832
2035,10-14,431,400,831
2035,15-19,423,422,845
2035,20-24,429,419,848
2035,25-29,376,308,684
2035,30-34,528,485,1013
2035,35-39,786,653,1439
2035,40-44,793,743,1536
2035,45-49,685,624,1309
2035,50-54,889,715,1604
2035,55-59,843,736,1579
2035,60-64,764,751,1515
2035,65-69,713,736,1449
2035,70-74,614,701,1315
2035,75-79,432,603,1035
2035,80-84,315,507,822
2035,85-89,132,224,356
2035,90-94,49,93,142
2035,95-99,18,34,52
2035,100+,0,0,0
2036,0-4,364,338,702
2036,5-9,421,393,814
2036,10-14,439,407,846
2036,15-19,395,401,796
2036,20-24,468,436,904
2036,25-29,370,329,699
2036,30-34,479,437,916
2036,35-39,724,600,1324
2036,40-44,805,755,1560
2036,45-49,716,640,1356
2036,50-54,821,703,1524
2036,55-59,882,725,1607
2036,60-64,753,769,1522
