year,male,female,total
2019,24426,26531,50957
2020,24312,26479,50791
2021,24186,26418,50604
2022,24056,26341,50397
2023,23916,26254,50170
2024,23758,26156,49914
2025,23609,26063,49672
2026,23453,25956,49409
2027,23289,25837,49126
2028,23112,25704,48816
2029,22929,25558,48487
2030,22732,25397,48129
2031,22526,25224,47750
2032,22308,25043,47351
2033,22082,24847,46929
2034,21847,24637,46484
2035,21635,24450,46085
2036,21414,24251,45665
2037,21185,24036,45221
2038,20947,23807,44754
2039,20704,23567,44271
2040,20451,23315,43766
2041,20189,23047,43236
2042,19925,22775,42700
2043,19655,22483,42138
2044,19389,22186,41575
2045,19140,21915,41055
2046,18885,21635,40520
2047,18625,21336,39961
2048,18358,21028,39386
2049,18094,20710,38804
2050,17826,20385,38211
2051,17565,20059,37624
2052,17298,19731,37029
2053,17035,19408,36443
2054,16777,19090,35867
2055,16535,18794,35329
2056,16289,18500,34789
2057,16049,18204,34253
2058,15810,17909,33719
2059,15574,17610,33184
2060,15337,17313,32650
2061,15099,17019,32118
2062,14859,16727,31586
2063,14624,16437,31061
2064,14387,16144,30531
2065,14158,15875,30033
