cunli,adult2019,chilren2019,adult2020,chilren2020,adult2021,chilren2021,adult_diff,children_diff
臺南市新營區忠政里,3401,508,3263,492,3183,474,-218,-34
臺南市新營區民權里,1596,435,1550,427,1519,408,-77,-27
臺南市新營區三仙里,2079,290,2037,299,1975,279,-104,-11
臺南市新營區大宏里,2080,607,1974,583,1917,570,-163,-37
臺南市新營區王公里,3280,729,3173,709,3083,653,-197,-76
臺南市新營區中營里,918,139,899,136,845,123,-73,-16
臺南市新營區土庫里,1065,104,1044,101,1028,108,-37,4
臺南市新營區南興里,1765,200,1699,175,1648,156,-117,-44
臺南市新營區興業里,1244,178,1202,167,1204,162,-40,-16
臺南市新營區民生里,2480,356,2388,352,2344,342,-136,-14
臺南市新營區民榮里,3523,493,3516,487,3465,457,-58,-36
臺南市新營區埤寮里,1246,198,1209,184,1187,172,-59,-26
臺南市新營區護鎮里,1044,141,1014,136,990,134,-54,-7
臺南市新營區太南里,1257,118,1219,111,1192,115,-65,-3
臺南市新營區太北里,1407,152,1364,138,1322,132,-85,-20
臺南市新營區南紙里,3088,386,3021,368,2946,344,-142,-42
臺南市新營區嘉芳里,1517,239,1491,229,1493,229,-24,-10
臺南市新營區五興里,1160,110,1109,103,1081,93,-79,-17
臺南市新營區姑爺里,673,71,650,73,625,67,-48,-4
臺南市新營區新北里,3904,619,3921,646,3900,648,-4,29
臺南市新營區新南里,4288,777,4272,715,4290,693,2,-84
臺南市新營區新東里,5709,1400,5728,1333,5731,1302,22,-98
臺南市新營區永平里,1800,231,1749,231,1664,222,-136,-9
臺南市鹽水區水秀里,1142,180,1124,176,1099,161,-43,-19
臺南市鹽水區橋南里,3018,389,2971,393,2915,399,-103,10
臺南市鹽水區汫水里,604,63,580,59,563,56,-41,-7
臺南市鹽水區岸內里,2950,463,2961,457,3014,460,64,-3
臺南市鹽水區歡雅里,1201,159,1155,149,1139,150,-62,-9
臺南市鹽水區津城里,1041,142,1005,139,958,142,-83,0
臺南市鹽水區月港里,1098,113,1094,121,1077,111,-21,-2
臺南市鹽水區三明里,1128,126,1090,110,1067,105,-61,-21
臺南市鹽水區義中里,1185,146,1155,140,1108,128,-77,-18
臺南市鹽水區文昌里,668,91,647,88,639,83,-29,-8
臺南市鹽水區竹林里,735,54,707,59,694,56,-41,2
臺南市鹽水區三和里,614,55,590,59,566,57,-48,2
臺南市鹽水區坔頭港里,983,81,957,81,908,80,-75,-1
臺南市白河區白河里,1164,113,1152,115,1134,116,-30,3
臺南市白河區永安里,2188,362,2180,374,2133,377,-55,15
臺南市白河區外角里,991,123,983,121,972,118,-19,-5
臺南市白河區庄內里,1201,156,1179,170,1147,170,-54,14
臺南市白河區秀祐里,682,85,658,87,642,90,-40,5
臺南市白河區河東里,928,73,910,71,886,65,-42,-8
臺南市白河區虎山里,304,19,288,23,279,28,-25,9
臺南市白河區大林里,389,34,367,34,355,26,-34,-8
臺南市白河區崁頭里,257,20,251,21,246,15,-11,-5
臺南市白河區六溪里,327,31,323,31,316,33,-11,2
臺南市白河區仙草里,690,57,658,59,629,48,-61,-9
臺南市白河區關嶺里,582,65,564,60,524,51,-58,-14
臺南市白河區大竹里,1024,135,974,123,937,107,-87,-28
臺南市白河區竹門里,575,58,561,61,534,50,-41,-8
臺南市白河區崎內里,453,51,432,49,422,41,-31,-10
臺南市白河區昇安里,981,114,958,102,949,95,-32,-19
臺南市白河區汴頭里,494,53,484,44,474,41,-20,-12
臺南市白河區內角里,422,44,414,41,396,34,-26,-10
臺南市白河區詔豐里,1412,164,1350,150,1327,142,-85,-22
臺南市白河區廣蓮里,998,104,960,104,932,99,-66,-5
臺南市白河區馬稠後里,929,87,888,85,860,73,-69,-14
臺南市柳營區士林里,1386,161,1403,178,1371,182,-15,21
臺南市柳營區光福里,1114,106,1105,104,1116,109,2,3
臺南市柳營區中埕里,814,116,798,120,776,113,-38,-3
臺南市柳營區東昇里,2012,222,2014,236,1977,243,-35,21
臺南市柳營區八翁里,1037,128,1039,136,994,124,-43,-4
臺南市柳營區人和里,511,53,498,47,477,40,-34,-13
臺南市柳營區太康里,1060,102,1037,102,1008,102,-52,0
臺南市柳營區重溪里,1319,140,1274,130,1254,114,-65,-26
臺南市柳營區篤農里,953,65,936,70,893,79,-60,14
臺南市柳營區大農里,495,42,484,40,460,38,-35,-4
臺南市柳營區神農里,966,108,923,111,889,108,-77,0
臺南市柳營區果毅里,886,83,862,82,840,78,-46,-5
臺南市柳營區旭山里,1151,140,1110,124,1088,105,-63,-35
臺南市後壁區後壁里,1198,133,1166,132,1127,129,-71,-4
臺南市後壁區侯伯里,930,135,921,124,893,115,-37,-20
臺南市後壁區嘉苳里,913,122,907,117,893,121,-20,-1
